    igrf1930
 10 6371.2 1930
1 0 -30805.0 0.0
1 1 -2316.0 5808.0
2 0 -951.0 0.0
2 1 2980.0 -1424.0
2 2 1517.0 644.0
3 0 1172.0 0.0
3 1 -1692.0 -480.0
3 2 1205.0 133.0
3 3 907.0 166.0
4 0 896.0 0.0
4 1 727.0 205.0
4 2 584.0 -195.0
4 3 -422.0 -109.0
4 4 234.0 -90.0
5 0 -237.0 0.0
5 1 327.0 -72.0
5 2 218.0 60.0
5 3 -32.0 -53.0
5 4 -131.0 -118.0
5 5 -74.0 58.0
6 0 60.0 0.0
6 1 53.0 4.0
6 2 -9.0 102.0
6 3 -242.0 19.0
6 4 -32.0 -16.0
6 5 32.0 8.0
6 6 -104.0 -46.0
7 0 74.0 0.0
7 1 -54.0 -51.0
7 2 4.0 -15.0
7 3 25.0 -14.0
7 4 -34.0 6.0
7 5 -12.0 29.0
7 6 18.0 -18.0
7 7 6.0 -20.0
8 0 11.0 0.0
8 1 7.0 8.0
8 2 -3.0 -15.0
8 3 -9.0 5.0
8 4 2.0 -14.0
8 5 5.0 5.0
8 6 -6.0 18.0
8 7 8.0 -5.0
8 8 8.0 -19.0
9 0 8.0 0.0
9 1 10.0 -20.0
9 2 1.0 14.0
9 3 -12.0 5.0
9 4 12.0 -3.0
9 5 1.0 -2.0
9 6 -2.0 9.0
9 7 3.0 10.0
9 8 0.0 -2.0
9 9 -2.0 2.0
10 0 -3.0 0.0
10 1 -4.0 2.0
10 2 2.0 1.0
10 3 -5.0 2.0
10 4 -2.0 6.0
10 5 6.0 -4.0
10 6 4.0 0.0
10 7 0.0 -2.0
10 8 1.0 4.0
10 9 3.0 0.0
10 10 0.0 -6.0
