    igrf1935
 10 6371.2 1935
1 0 -30715.0 0.0
1 1 -2306.0 5812.0
2 0 -1018.0 0.0
2 1 2984.0 -1520.0
2 2 1550.0 586.0
3 0 1206.0 0.0
3 1 -1740.0 -494.0
3 2 1215.0 146.0
3 3 918.0 101.0
4 0 903.0 0.0
4 1 744.0 188.0
4 2 565.0 -226.0
4 3 -415.0 -90.0
4 4 249.0 -114.0
5 0 -241.0 0.0
5 1 329.0 -51.0
5 2 211.0 64.0
5 3 -33.0 -64.0
5 4 -136.0 -115.0
5 5 -76.0 64.0
6 0 59.0 0.0
6 1 53.0 4.0
6 2 -8.0 104.0
6 3 -246.0 25.0
6 4 -25.0 -15.0
6 5 25.0 4.0
6 6 -106.0 -40.0
7 0 74.0 0.0
7 1 -53.0 -52.0
7 2 4.0 -17.0
7 3 23.0 -14.0
7 4 -33.0 7.0
7 5 -11.0 29.0
7 6 18.0 -19.0
7 7 6.0 -19.0
8 0 11.0 0.0
8 1 7.0 8.0
8 2 -3.0 -15.0
8 3 -9.0 5.0
8 4 1.0 -15.0
8 5 6.0 5.0
8 6 -6.0 18.0
8 7 8.0 -5.0
8 8 7.0 -19.0
9 0 8.0 0.0
9 1 10.0 -20.0
9 2 1.0 15.0
9 3 -12.0 5.0
9 4 11.0 -3.0
9 5 1.0 -3.0
9 6 -2.0 9.0
9 7 3.0 11.0
9 8 0.0 -2.0
9 9 -2.0 2.0
10 0 -3.0 0.0
10 1 -4.0 2.0
10 2 2.0 1.0
10 3 -5.0 2.0
10 4 -2.0 6.0
10 5 6.0 -4.0
10 6 4.0 0.0
10 7 0.0 -1.0
10 8 2.0 4.0
10 9 3.0 0.0
10 10 0.0 -6.0
