    igrf1920
 10 6371.2 1920
1 0 -31060.0 0.0
1 1 -2317.0 5845.0
2 0 -839.0 0.0
2 1 2959.0 -1259.0
2 2 1407.0 823.0
3 0 1111.0 0.0
3 1 -1600.0 -445.0
3 2 1205.0 103.0
3 3 839.0 293.0
4 0 889.0 0.0
4 1 695.0 220.0
4 2 616.0 -134.0
4 3 -424.0 -153.0
4 4 199.0 -57.0
5 0 -221.0 0.0
5 1 326.0 -122.0
5 2 236.0 58.0
5 3 -23.0 -38.0
5 4 -119.0 -125.0
5 5 -62.0 43.0
6 0 61.0 0.0
6 1 55.0 0.0
6 2 -10.0 96.0
6 3 -233.0 11.0
6 4 -46.0 -22.0
6 5 44.0 18.0
6 6 -101.0 -57.0
7 0 73.0 0.0
7 1 -54.0 -49.0
7 2 2.0 -14.0
7 3 29.0 -13.0
7 4 -37.0 4.0
7 5 -16.0 28.0
7 6 19.0 -16.0
7 7 6.0 -22.0
8 0 11.0 0.0
8 1 7.0 8.0
8 2 -3.0 -15.0
8 3 -9.0 6.0
8 4 2.0 -14.0
8 5 4.0 5.0
8 6 -7.0 17.0
8 7 6.0 -5.0
8 8 8.0 -19.0
9 0 8.0 0.0
9 1 10.0 -20.0
9 2 1.0 14.0
9 3 -11.0 5.0
9 4 12.0 -3.0
9 5 1.0 -2.0
9 6 -2.0 9.0
9 7 2.0 10.0
9 8 0.0 -2.0
9 9 -1.0 2.0
10 0 -3.0 0.0
10 1 -4.0 2.0
10 2 2.0 1.0
10 3 -5.0 2.0
10 4 -2.0 6.0
10 5 6.0 -4.0
10 6 4.0 0.0
10 7 0.0 -2.0
10 8 1.0 4.0
10 9 3.0 0.0
10 10 0.0 -6.0
