    igrf1900
 10 6371.2 1900
1 0 -31543.0 0.0
1 1 -2298.0 5922.0
2 0 -677.0 0.0
2 1 2905.0 -1061.0
2 2 924.0 1121.0
3 0 1022.0 0.0
3 1 -1469.0 -330.0
3 2 1256.0 3.0
3 3 572.0 523.0
4 0 876.0 0.0
4 1 628.0 195.0
4 2 660.0 -69.0
4 3 -361.0 -210.0
4 4 134.0 -75.0
5 0 -184.0 0.0
5 1 328.0 -210.0
5 2 264.0 53.0
5 3 5.0 -33.0
5 4 -86.0 -124.0
5 5 -16.0 3.0
6 0 63.0 0.0
6 1 61.0 -9.0
6 2 -11.0 83.0
6 3 -217.0 2.0
6 4 -58.0 -35.0
6 5 59.0 36.0
6 6 -90.0 -69.0
7 0 70.0 0.0
7 1 -55.0 -45.0
7 2 0.0 -13.0
7 3 34.0 -10.0
7 4 -41.0 -1.0
7 5 -21.0 28.0
7 6 18.0 -12.0
7 7 6.0 -22.0
8 0 11.0 0.0
8 1 8.0 8.0
8 2 -4.0 -14.0
8 3 -9.0 7.0
8 4 1.0 -13.0
8 5 2.0 5.0
8 6 -9.0 16.0
8 7 5.0 -5.0
8 8 8.0 -18.0
9 0 8.0 0.0
9 1 10.0 -20.0
9 2 1.0 14.0
9 3 -11.0 5.0
9 4 12.0 -3.0
9 5 1.0 -2.0
9 6 -2.0 8.0
9 7 2.0 10.0
9 8 -1.0 -2.0
9 9 -1.0 2.0
10 0 -3.0 0.0
10 1 -4.0 2.0
10 2 2.0 1.0
10 3 -5.0 2.0
10 4 -2.0 6.0
10 5 6.0 -4.0
10 6 4.0 0.0
10 7 0.0 -2.0
10 8 2.0 4.0
10 9 2.0 0.0
10 10 0.0 -6.0
