    igrf1925
 10 6371.2 1925
1 0 -30926.0 0.0
1 1 -2318.0 5817.0
2 0 -893.0 0.0
2 1 2969.0 -1334.0
2 2 1471.0 728.0
3 0 1140.0 0.0
3 1 -1645.0 -462.0
3 2 1202.0 119.0
3 3 881.0 229.0
4 0 891.0 0.0
4 1 711.0 216.0
4 2 601.0 -163.0
4 3 -426.0 -130.0
4 4 217.0 -70.0
5 0 -230.0 0.0
5 1 326.0 -96.0
5 2 226.0 58.0
5 3 -28.0 -44.0
5 4 -125.0 -122.0
5 5 -69.0 51.0
6 0 61.0 0.0
6 1 54.0 3.0
6 2 -9.0 99.0
6 3 -238.0 14.0
6 4 -40.0 -18.0
6 5 39.0 13.0
6 6 -103.0 -52.0
7 0 73.0 0.0
7 1 -54.0 -50.0
7 2 3.0 -14.0
7 3 27.0 -14.0
7 4 -35.0 5.0
7 5 -14.0 29.0
7 6 19.0 -17.0
7 7 6.0 -21.0
8 0 11.0 0.0
8 1 7.0 8.0
8 2 -3.0 -15.0
8 3 -9.0 6.0
8 4 2.0 -14.0
8 5 4.0 5.0
8 6 -7.0 17.0
8 7 7.0 -5.0
8 8 8.0 -19.0
9 0 8.0 0.0
9 1 10.0 -20.0
9 2 1.0 14.0
9 3 -11.0 5.0
9 4 12.0 -3.0
9 5 1.0 -2.0
9 6 -2.0 9.0
9 7 2.0 10.0
9 8 0.0 -2.0
9 9 -1.0 2.0
10 0 -3.0 0.0
10 1 -4.0 2.0
10 2 2.0 1.0
10 3 -5.0 2.0
10 4 -2.0 6.0
10 5 6.0 -4.0
10 6 4.0 0.0
10 7 0.0 -2.0
10 8 1.0 4.0
10 9 3.0 0.0
10 10 0.0 -6.0
