    igrf1915
 10 6371.2 1915
1 0 -31212.0 0.0
1 1 -2306.0 5875.0
2 0 -802.0 0.0
2 1 2956.0 -1191.0
2 2 1309.0 917.0
3 0 1084.0 0.0
3 1 -1559.0 -421.0
3 2 1212.0 84.0
3 3 778.0 360.0
4 0 887.0 0.0
4 1 678.0 218.0
4 2 631.0 -109.0
4 3 -416.0 -173.0
4 4 178.0 -51.0
5 0 -211.0 0.0
5 1 327.0 -148.0
5 2 245.0 58.0
5 3 -16.0 -34.0
5 4 -111.0 -126.0
5 5 -51.0 32.0
6 0 61.0 0.0
6 1 57.0 -2.0
6 2 -10.0 93.0
6 3 -228.0 8.0
6 4 -51.0 -26.0
6 5 49.0 23.0
6 6 -98.0 -62.0
7 0 72.0 0.0
7 1 -54.0 -48.0
7 2 2.0 -14.0
7 3 31.0 -12.0
7 4 -38.0 2.0
7 5 -18.0 28.0
7 6 19.0 -15.0
7 7 6.0 -22.0
8 0 11.0 0.0
8 1 8.0 8.0
8 2 -4.0 -15.0
8 3 -9.0 6.0
8 4 2.0 -13.0
8 5 3.0 5.0
8 6 -8.0 16.0
8 7 6.0 -5.0
8 8 8.0 -18.0
9 0 8.0 0.0
9 1 10.0 -20.0
9 2 1.0 14.0
9 3 -11.0 5.0
9 4 12.0 -3.0
9 5 1.0 -2.0
9 6 -2.0 8.0
9 7 2.0 10.0
9 8 0.0 -2.0
9 9 -1.0 2.0
10 0 -3.0 0.0
10 1 -4.0 2.0
10 2 2.0 1.0
10 3 -5.0 2.0
10 4 -2.0 6.0
10 5 6.0 -4.0
10 6 4.0 0.0
10 7 0.0 -2.0
10 8 1.0 4.0
10 9 2.0 0.0
10 10 0.0 -6.0
