    igrf1910
 10 6371.2 1910
1 0 -31354.0 0.0
1 1 -2297.0 5898.0
2 0 -769.0 0.0
2 1 2948.0 -1128.0
2 2 1176.0 1000.0
3 0 1058.0 0.0
3 1 -1524.0 -389.0
3 2 1223.0 62.0
3 3 705.0 425.0
4 0 884.0 0.0
4 1 660.0 211.0
4 2 644.0 -90.0
4 3 -400.0 -189.0
4 4 160.0 -55.0
5 0 -201.0 0.0
5 1 327.0 -172.0
5 2 253.0 57.0
5 3 -9.0 -33.0
5 4 -102.0 -126.0
5 5 -38.0 21.0
6 0 62.0 0.0
6 1 58.0 -5.0
6 2 -11.0 89.0
6 3 -224.0 5.0
6 4 -54.0 -29.0
6 5 54.0 28.0
6 6 -95.0 -65.0
7 0 71.0 0.0
7 1 -54.0 -47.0
7 2 1.0 -14.0
7 3 32.0 -12.0
7 4 -40.0 1.0
7 5 -19.0 28.0
7 6 18.0 -13.0
7 7 6.0 -22.0
8 0 11.0 0.0
8 1 8.0 8.0
8 2 -4.0 -15.0
8 3 -9.0 6.0
8 4 1.0 -13.0
8 5 2.0 5.0
8 6 -8.0 16.0
8 7 5.0 -5.0
8 8 8.0 -18.0
9 0 8.0 0.0
9 1 10.0 -20.0
9 2 1.0 14.0
9 3 -11.0 5.0
9 4 12.0 -3.0
9 5 1.0 -2.0
9 6 -2.0 8.0
9 7 2.0 10.0
9 8 0.0 -2.0
9 9 -1.0 2.0
10 0 -3.0 0.0
10 1 -4.0 2.0
10 2 2.0 1.0
10 3 -5.0 2.0
10 4 -2.0 6.0
10 5 6.0 -4.0
10 6 4.0 0.0
10 7 0.0 -2.0
10 8 2.0 4.0
10 9 2.0 0.0
10 10 0.0 -6.0
