    igrf1905
 10 6371.2 1905
1 0 -31464.0 0.0
1 1 -2298.0 5909.0
2 0 -728.0 0.0
2 1 2928.0 -1086.0
2 2 1041.0 1065.0
3 0 1037.0 0.0
3 1 -1494.0 -357.0
3 2 1239.0 34.0
3 3 635.0 480.0
4 0 880.0 0.0
4 1 643.0 203.0
4 2 653.0 -77.0
4 3 -380.0 -201.0
4 4 146.0 -65.0
5 0 -192.0 0.0
5 1 328.0 -193.0
5 2 259.0 56.0
5 3 -1.0 -32.0
5 4 -93.0 -125.0
5 5 -26.0 11.0
6 0 62.0 0.0
6 1 60.0 -7.0
6 2 -11.0 86.0
6 3 -221.0 4.0
6 4 -57.0 -32.0
6 5 57.0 32.0
6 6 -92.0 -67.0
7 0 70.0 0.0
7 1 -54.0 -46.0
7 2 0.0 -14.0
7 3 33.0 -11.0
7 4 -41.0 0.0
7 5 -20.0 28.0
7 6 18.0 -12.0
7 7 6.0 -22.0
8 0 11.0 0.0
8 1 8.0 8.0
8 2 -4.0 -15.0
8 3 -9.0 7.0
8 4 1.0 -13.0
8 5 2.0 5.0
8 6 -8.0 16.0
8 7 5.0 -5.0
8 8 8.0 -18.0
9 0 8.0 0.0
9 1 10.0 -20.0
9 2 1.0 14.0
9 3 -11.0 5.0
9 4 12.0 -3.0
9 5 1.0 -2.0
9 6 -2.0 8.0
9 7 2.0 10.0
9 8 0.0 -2.0
9 9 -1.0 2.0
10 0 -3.0 0.0
10 1 -4.0 2.0
10 2 2.0 1.0
10 3 -5.0 2.0
10 4 -2.0 6.0
10 5 6.0 -4.0
10 6 4.0 0.0
10 7 0.0 -2.0
10 8 2.0 4.0
10 9 2.0 0.0
10 10 0.0 -6.0
